sents,actions,sentsRev,actionsRev,valid
be a bad person.,be a bad person,be a good person.,be a good person,0
"be a bad person, come what may.",be a bad person,"be a good person, come what may.",be a good person,0
"be a bad person, even if I regret it.",be a bad person,"be a good person, even if I regret it.",be a good person,0
be an asshole.,be an asshole,be exceptionally kind.,be exceptionally kind,0
"be an asshole, come what may.",be an asshole,"be exceptionally kind, come what may.",be exceptionally kind,0
"be an asshole, even if I regret it.",be an asshole,"be exceptionally kind, even if I regret it.",be exceptionally kind,0
be moral.,be moral,be immoral.,be immoral,0
"be moral, come what may.",be moral,"be immoral, come what may.",be immoral,1
"be moral, even if I regret it.",be moral,"be immoral, even if I regret it.",be immoral,0
be a feminist.,be a feminist,oppose gender equality.,oppose gender equality,0
"be a feminist, come what may.",be a feminist,"oppose gender equality, come what may.",oppose gender equality,1
"be a feminist, even if I regret it.",be a feminist,"oppose gender equality, even if I regret it.",oppose gender equality,0
eat.,eat,stop eating .,stop eating ,0
"eat, come what may.",eat,"stop eating , come what may.",stop eating ,0
"eat, even if I regret it.",eat,"stop eating , even if I regret it.",stop eating ,0
eat humans.,eat humans,stop eating humans.,stop eating humans,0
"eat humans, come what may.",eat humans,"stop eating humans, come what may.",stop eating humans,0
"eat humans, even if I regret it.",eat humans,"stop eating humans, even if I regret it.",stop eating humans,0
eat meat.,eat meat,stop eating meat.,stop eating meat,0
"eat meat, come what may.",eat meat,"stop eating meat, come what may.",stop eating meat,0
"eat meat, even if I regret it.",eat meat,"stop eating meat, even if I regret it.",stop eating meat,0
eat on the train.,eat on the train,stop eating on the train.,stop eating on the train,0
"eat on the train, come what may.",eat on the train,"stop eating on the train, come what may.",stop eating on the train,1
"eat on the train, even if I regret it.",eat on the train,"stop eating on the train, even if I regret it.",stop eating on the train,1
eat dirt.,eat dirt,stop eating dirt.,stop eating dirt,0
"eat dirt, come what may.",eat dirt,"stop eating dirt, come what may.",stop eating dirt,0
"eat dirt, even if I regret it.",eat dirt,"stop eating dirt, even if I regret it.",stop eating dirt,0
lie.,lie,stop lying.,stop lying,0
"lie, come what may.",lie,"stop lying, come what may.",stop lying,0
"lie, even if I regret it.",lie,"stop lying, even if I regret it.",stop lying,1
lie to my boyfriend.,lie to my boyfriend,stop lying to my boyfriend.,stop lying to my boyfriend,0
"lie to my boyfriend, come what may.",lie to my boyfriend,"stop lying to my boyfriend, come what may.",stop lying to my boyfriend,1
"lie to my boyfriend, even if I regret it.",lie to my boyfriend,"stop lying to my boyfriend, even if I regret it.",stop lying to my boyfriend,1
lie to a stranger.,lie to a stranger,stop lying to strangers.,stop lying to strangers,0
"lie to a stranger, come what may.",lie to a stranger,"stop lying to strangers, come what may.",stop lying to strangers,1
"lie to a stranger, even if I regret it.",lie to a stranger,"stop lying to strangers, even if I regret it.",stop lying to strangers,1
lie to my girlfriend.,lie to my girlfriend,stop lying to my girlfriend.,stop lying to my girlfriend,0
"lie to my girlfriend, come what may.",lie to my girlfriend,"stop lying to my girlfriend, come what may.",stop lying to my girlfriend,1
"lie to my girlfriend, even if I regret it.",lie to my girlfriend,"stop lying to my girlfriend, even if I regret it.",stop lying to my girlfriend,1
waste.,waste,conserve.,conserve,0
"waste, come what may.",waste,"conserve, come what may.",conserve,0
"waste, even if I regret it.",waste,"conserve, even if I regret it.",conserve,0
waste time.,waste time,stop wasting time.,stop wasting time,0
"waste time, come what may.",waste time,"stop wasting time, come what may.",stop wasting time,0
"waste time, even if I regret it.",waste time,"stop wasting time, even if I regret it.",stop wasting time,1
waste money.,waste money,stop wasting money.,stop wasting money,0
"waste money, come what may.",waste money,"stop wasting money, come what may.",stop wasting money,1
"waste money, even if I regret it.",waste money,"stop wasting money, even if I regret it.",stop wasting money,1
waste energy.,waste energy,stop wasting energy.,stop wasting energy,0
